supplier,sku,product_name,category,recommended_qty,approved_qty,urgency,days_of_cover,lead_time_days,coverage_days,model_demand,seasonal_factor,trend_factor,planned_growth,demand_for_coverage,safety_stock,stock,stock_as_of,in_transit,net_need,raw_sales_need,lost_demand_adjustment,one_off_orders_removed,min_order_qty,order_multiple,price,order_value,status,reason
Поставщик 3,SKU007,Электротовар 7,Категория 1,1480.0,1480.0,критично,4.8,21,28,1302.7,1.161,1.019,0.1,1694.6,67.7,291.0,2025-02-03,0.0,1471.4,985.7,0.0,0.0,100.0,10.0,980.0,1450400.0,черновик — требует утверждения,"Покрытие 28 дн. (поставка 21 + пересмотр 7): прогноз модели 1303 ед., годовая сезонность ×1.16, устойчивый тренд +4.1%/мес ×1.02, плановый прирост +10% → спрос 1695 ед. Страховой запас 68 ед. (ошибка прогноза на валидации). Доступно 291 ед. (остаток 291 + в пути 0). Потребность 1471 → заказ 1480 ед. (кратность 10, мин. партия 100). Запаса хватит на 4.8 дн. при сроке поставки 21 дн."
Поставщик 3,SKU011,Электротовар 11,Категория 2,540.0,540.0,критично,6.0,21,28,560.5,1.11,0.98,0.0,609.7,51.7,131.0,2025-02-03,0.0,530.4,504.7,0.0,3.8,100.0,10.0,1300.0,702000.0,черновик — требует утверждения,"Покрытие 28 дн. (поставка 21 + пересмотр 7): прогноз модели 560 ед., годовая сезонность ×1.11, устойчивый тренд -4.3%/мес ×0.98 → спрос 610 ед. Страховой запас 52 ед. (ошибка прогноза на валидации). Доступно 131 ед. (остаток 131 + в пути 0). Потребность 530 → заказ 540 ед. (кратность 10, мин. партия 100). Запаса хватит на 6.0 дн. при сроке поставки 21 дн."
Поставщик 3,SKU019,Электротовар 19,Категория 1,1460.0,1460.0,критично,16.8,21,28,2485.3,1.18,1.02,0.1,3290.9,133.8,1829.0,2025-02-03,144.0,1451.7,636.8,0.0,6.5,100.0,10.0,1940.0,2832400.0,черновик — требует утверждения,"Покрытие 28 дн. (поставка 21 + пересмотр 7): прогноз модели 2485 ед., годовая сезонность ×1.18, устойчивый тренд +4.4%/мес ×1.02, плановый прирост +10% → спрос 3291 ед. Страховой запас 134 ед. (ошибка прогноза на валидации). Доступно 1973 ед. (остаток 1829 + в пути 144). Потребность 1452 → заказ 1460 ед. (кратность 10, мин. партия 100). Запаса хватит на 16.8 дн. при сроке поставки 21 дн."
Поставщик 3,SKU003,Электротовар 3,Категория 3,190.0,190.0,критично,19.5,21,28,456.3,1.078,1.0,-0.05,467.4,44.1,326.0,2025-02-03,0.0,185.5,798.1,0.0,602.0,100.0,10.0,660.0,125400.0,черновик — требует утверждения,"Покрытие 28 дн. (поставка 21 + пересмотр 7): прогноз модели 456 ед., годовая сезонность ×1.08, плановый прирост -5% → спрос 467 ед. Страховой запас 44 ед. (ошибка прогноза на валидации). Доступно 326 ед. (остаток 326 + в пути 0). Потребность 186 → заказ 190 ед. (кратность 10, мин. партия 100). Запаса хватит на 19.5 дн. при сроке поставки 21 дн. Исключены разовые крупные заказы: −602 ед."
Поставщик 3,SKU015,Электротовар 15,Категория 3,0.0,0.0,не требуется,53.4,21,28,1280.5,1.098,1.0,-0.05,1335.6,70.7,2545.0,2025-02-03,0.0,-1138.7,0.0,0.0,0.0,100.0,10.0,1620.0,0.0,черновик — требует утверждения,"Покрытие 28 дн. (поставка 21 + пересмотр 7): прогноз модели 1280 ед., годовая сезонность ×1.10, плановый прирост -5% → спрос 1336 ед. Страховой запас 71 ед. (ошибка прогноза на валидации). Доступно 2545 ед. (остаток 2545 + в пути 0). Запаса достаточно, заказ не нужен."
Поставщик 4,SKU016,Электротовар 16,Категория 1,3710.0,3710.0,критично,1.9,28,35,2941.0,1.15,1.023,0.1,3804.8,114.9,210.0,2025-02-03,0.0,3709.7,2566.1,0.0,0.0,0.0,1.0,1700.0,6307000.0,черновик — требует утверждения,"Покрытие 35 дн. (поставка 28 + пересмотр 7): прогноз модели 2941 ед., годовая сезонность ×1.15, устойчивый тренд +4.0%/мес ×1.02, плановый прирост +10% → спрос 3805 ед. Страховой запас 115 ед. (ошибка прогноза на валидации). Доступно 210 ед. (остаток 210 + в пути 0). Потребность 3710 → заказ 3710 ед.. Запаса хватит на 1.9 дн. при сроке поставки 28 дн."
Поставщик 4,SKU012,Электротовар 12,Категория 3,1208.0,1208.0,критично,10.0,28,35,1494.9,1.135,1.0,-0.05,1612.0,54.7,459.0,2025-02-03,0.0,1207.7,900.7,0.0,1.9,0.0,1.0,1380.0,1667040.0,черновик — требует утверждения,"Покрытие 35 дн. (поставка 28 + пересмотр 7): прогноз модели 1495 ед., годовая сезонность ×1.14, плановый прирост -5% → спрос 1612 ед. Страховой запас 55 ед. (ошибка прогноза на валидации). Доступно 459 ед. (остаток 459 + в пути 0). Потребность 1208 → заказ 1208 ед.. Запаса хватит на 10.0 дн. при сроке поставки 28 дн."
Поставщик 4,SKU004,Электротовар 4,Категория 1,877.0,877.0,критично,15.7,28,35,1180.8,1.109,1.021,0.1,1471.1,64.0,659.0,2025-02-03,0.0,876.1,533.7,0.0,0.0,0.0,1.0,740.0,648980.0,черновик — требует утверждения,"Покрытие 35 дн. (поставка 28 + пересмотр 7): прогноз модели 1181 ед., годовая сезонность ×1.11, устойчивый тренд +3.6%/мес ×1.02, плановый прирост +10% → спрос 1471 ед. Страховой запас 64 ед. (ошибка прогноза на валидации). Доступно 659 ед. (остаток 659 + в пути 0). Потребность 876 → заказ 877 ед.. Запаса хватит на 15.7 дн. при сроке поставки 28 дн."
Поставщик 4,SKU008,Электротовар 8,Категория 2,0.0,0.0,не требуется,38.1,28,35,579.1,1.078,0.97,0.0,605.1,37.9,581.0,2025-02-03,78.0,-16.0,0.0,0.0,0.0,0.0,1.0,1060.0,0.0,черновик — требует утверждения,"Покрытие 35 дн. (поставка 28 + пересмотр 7): прогноз модели 579 ед., годовая сезонность ×1.08, устойчивый тренд -5.1%/мес ×0.97 → спрос 605 ед. Страховой запас 38 ед. (ошибка прогноза на валидации). Доступно 659 ед. (остаток 581 + в пути 78). Запаса достаточно, заказ не нужен."
Поставщик 4,SKU020,Электротовар 20,Категория 2,0.0,0.0,не требуется,90.5,28,35,1131.8,1.093,0.975,0.0,1205.9,57.7,2967.0,2025-02-03,150.0,-1853.4,0.0,0.0,0.0,0.0,1.0,2020.0,0.0,черновик — требует утверждения,"Покрытие 35 дн. (поставка 28 + пересмотр 7): прогноз модели 1132 ед., годовая сезонность ×1.09, устойчивый тренд -4.3%/мес ×0.97 → спрос 1206 ед. Страховой запас 58 ед. (ошибка прогноза на валидации). Доступно 3117 ед. (остаток 2967 + в пути 150). Запаса достаточно, заказ не нужен."
