sku,product_name,forecast_demand,forecast_horizon_days,growth_rate,trend_direction,seasonality_detected,seasonality_strength,estimated_lost_demand,outliers_detected,large_client_orders_detected,model_used,baseline_mae,model_mae,forecast_confidence,forecast_as_of,supplier,category,lead_time_days,stock,in_transit,price,forecast_reason
SKU011,Электротовар 11,612.275678891628,30,0.06915807560137477,stable,True,0.658496037538722,349.0,3,1,random_forest,5.331635885808778,4.740872964178515,medium,2025-02-03,Поставщик 3,Категория 2,21.0,131.0,0.0,1300.0,"Прогноз спроса на 30 дн.: 612.3 ед. Спрос за последние 30 дн. изменился на +6.9% к предыдущему периоду. Оценка упущенного спроса за историю: 349.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 3. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU012,Электротовар 12,1306.7324386645585,30,0.13653520760119742,increasing,True,0.6764917849464868,424.0,4,1,random_forest,8.367826934585194,4.482442186726217,medium,2025-02-03,Поставщик 4,Категория 3,28.0,459.0,0.0,1380.0,"Прогноз спроса на 30 дн.: 1306.7 ед. Спрос за последние 30 дн. изменился на +13.7% к предыдущему периоду. Оценка упущенного спроса за историю: 424.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 4. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU013,Электротовар 13,2057.6920580905944,30,0.15164786223277904,increasing,True,0.7813498835452193,558.0,3,1,random_forest,13.805832003626753,6.912473593341847,medium,2025-02-03,Поставщик 1,Категория 1,7.0,815.0,0.0,1460.0,"Прогноз спроса на 30 дн.: 2057.7 ед. Спрос за последние 30 дн. изменился на +15.2% к предыдущему периоду. Оценка упущенного спроса за историю: 558.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 3. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU014,Электротовар 14,676.872496960283,30,0.021684897332565845,stable,True,0.723325526600162,391.0,5,1,random_forest,5.48073224422809,3.479782511611928,medium,2025-02-03,Поставщик 2,Категория 2,14.0,1179.0,0.0,1540.0,"Прогноз спроса на 30 дн.: 676.9 ед. Спрос за последние 30 дн. изменился на +2.2% к предыдущему периоду. Оценка упущенного спроса за историю: 391.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 5. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU015,Электротовар 15,1403.0485731844967,30,0.09260666594289413,stable,True,0.7401791424253968,522.0,6,1,random_forest,10.83353626834909,6.479186506985891,medium,2025-02-03,Поставщик 3,Категория 3,21.0,2545.0,0.0,1620.0,"Прогноз спроса на 30 дн.: 1403.0 ед. Спрос за последние 30 дн. изменился на +9.3% к предыдущему периоду. Оценка упущенного спроса за историю: 522.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 6. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU016,Электротовар 16,2546.8229516323527,30,0.18440463645943095,increasing,True,0.7758356514678969,680.0,5,1,random_forest,16.06728745623492,9.413407583755397,medium,2025-02-03,Поставщик 4,Категория 1,28.0,210.0,0.0,1700.0,"Прогноз спроса на 30 дн.: 2546.8 ед. Спрос за последние 30 дн. изменился на +18.4% к предыдущему периоду. Оценка упущенного спроса за историю: 680.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 5. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU017,Электротовар 17,865.3754394167446,30,0.07402422611036341,stable,True,0.6756240321799032,473.0,0,1,random_forest,6.777334062335851,5.747911063749262,medium,2025-02-03,Поставщик 1,Категория 2,7.0,556.0,0.0,1780.0,"Прогноз спроса на 30 дн.: 865.4 ед. Спрос за последние 30 дн. изменился на +7.4% к предыдущему периоду. Оценка упущенного спроса за историю: 473.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 0. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU018,Электротовар 18,1770.126062673839,30,0.13155833985904453,increasing,True,0.7071827856399558,586.0,0,1,random_forest,11.632672771956793,6.042079845910881,medium,2025-02-03,Поставщик 2,Категория 3,14.0,956.0,138.0,1860.0,"Прогноз спроса на 30 дн.: 1770.1 ед. Спрос за последние 30 дн. изменился на +13.2% к предыдущему периоду. Оценка упущенного спроса за историю: 586.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 0. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU019,Электротовар 19,2698.2953420161716,30,0.18786915038618823,increasing,True,0.746855015375858,744.0,1,1,random_forest,17.693797780650375,12.25581685508678,medium,2025-02-03,Поставщик 3,Категория 1,21.0,1829.0,144.0,1940.0,"Прогноз спроса на 30 дн.: 2698.3 ед. Спрос за последние 30 дн. изменился на +18.8% к предыдущему периоду. Оценка упущенного спроса за историю: 744.0 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 1. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
SKU020,Электротовар 20,981.9823081069694,30,0.09463532248342377,stable,True,0.7146726347674007,512.5,1,1,random_forest,6.837697556501796,4.724921046021353,medium,2025-02-03,Поставщик 4,Категория 2,28.0,2967.0,150.0,2020.0,"Прогноз спроса на 30 дн.: 982.0 ед. Спрос за последние 30 дн. изменился на +9.5% к предыдущему периоду. Оценка упущенного спроса за историю: 512.5 ед. Ограничено разовых крупных заказов: 1, дневных выбросов: 1. Метод: random_forest. Уверенность — эвристика, не доверительный интервал."
